State,District,IncreaseRate(N/N+1),IncreaseRate(N+1/N+2),IncreaseRate(N+2/N+3),IncreaseRate(N+3/N+4),IncreaseRate(N+4/N+5),IncreaseRate(N+5/N+6)
Andaman and Nicobar Islands,Unknown,1.498344179,3.853700831,3.767823011,2.542767615,2.095678566,1.898964569
Andhra Pradesh,Anantapur,-3.988985933,14.14127605,15.83559203,8.850370794,5.784407694,4.315038362
Andhra Pradesh,Chittoor,-2.909991261,11.63106417,12.15501379,9.748983696,6.883703666,4.561313142
Andhra Pradesh,East Godavari,-5.415860231,11.58471961,12.89532071,10.323779,7.514492467,4.84606603
Andhra Pradesh,Foreign Evacuees,0,0,0,0,0,0
Andhra Pradesh,Guntur,0.05765268042,10.83047611,8.854423466,5.332065212,3.741176539,2.539054422
Andhra Pradesh,Krishna,-2.488190615,9.815340818,9.123821628,7.022867594,5.766648418,3.876317789
Andhra Pradesh,Kurnool,1.693798597,10.31663687,7.742373241,7.170842327,3.945000204,1.924432928
Andhra Pradesh,Other State,0,0,0,0,0,0
Andhra Pradesh,Prakasam,-1.790750141,9.830940416,10.38125554,7.807742014,5.069131385,3.721279146
Andhra Pradesh,S.P.S. Nellore,-1.804958049,11.9734583,9.423637852,6.074582343,4.053542318,2.259962509
Andhra Pradesh,Srikakulam,3.410774714,12.05817441,9.931945842,7.405047874,3.887151037,2.362108097
Andhra Pradesh,Visakhapatnam,-3.511265227,16.19451005,13.84971846,10.11995475,5.038998325,2.895011958
Andhra Pradesh,Vizianagaram,-0.9326409027,10.49118511,10.57637914,7.079051691,3.416512982,2.544320764
Andhra Pradesh,West Godavari,-3.480186245,8.144768473,10.11590613,7.949596711,5.176136103,3.660629908
Andhra Pradesh,Y.S.R. Kadapa,-3.82416397,13.66139287,11.04735311,6.420366652,4.402372757,3.728691551
Arunachal Pradesh,Anjaw,-8.090774544,14.76113795,22.73152479,11.2804878,21.23287671,11.46892655
Arunachal Pradesh,Capital Complex,0,0,0,0,0,0
Arunachal Pradesh,Changlang,-12.14131994,8.838538477,13.04388597,20.97055164,12.26085168,11.29436198
Arunachal Pradesh,East Kameng,-12.15250199,5.153707052,10.87704213,15.12214036,21.45503537,23.84914032
Arunachal Pradesh,East Siang,-3.550232006,5.06824793,5.026088808,7.91848322,6.801954153,6.087262491
Arunachal Pradesh,Kamle,-46.68246445,11.55555556,107.5697211,63.53166987,13.96713615,3.295571576
Arunachal Pradesh,Kra Daadi,-13.76146789,18.79432624,8.358208955,18.45730028,16.97674419,58.64811133
Arunachal Pradesh,Kurung Kumey,-8.628318584,3.268765133,4.806565064,16.89038031,8.325358852,27.38515901
Arunachal Pradesh,Lepa Rada,-2.10989011,5.478221823,2.767134951,4.722452361,12.10443038,6.563161609
Arunachal Pradesh,Lohit,-13.46807707,15.8698974,18.76412962,15.18083756,14.5159069,11.04028863
Arunachal Pradesh,Longding,-0.7911392405,0.7442849548,2.374670185,3.092783505,8.2,11.96857671
Arunachal Pradesh,Lower Dibang Valley,-0.738989063,12.47766528,11.0140323,14.2260911,9.092807182,3.818181818
Arunachal Pradesh,Lower Siang,-2.057793345,11.22038444,8.480707395,1.63023342,4.338315713,7.686932215
Arunachal Pradesh,Lower Subansiri,-17.37469094,22.82372144,24.00885936,23.86140382,19.56741168,8.815726001
Arunachal Pradesh,Namsai,-20.46603649,18.32504146,22.65825742,27.65187583,19.82694316,11.61603586
Arunachal Pradesh,Pakke Kessang,-3.783783784,1.5917603,6.267281106,5.897658283,10.81081081,12.04730229
Arunachal Pradesh,Papum Pare,-1.938025959,6.261704333,6.429976901,6.639551147,6.019628239,5.127548844
Arunachal Pradesh,Shi Yomi,-3.529411765,0.9485094851,3.624161074,7.124352332,4.836759371,1.384083045
Arunachal Pradesh,Siang,-6.169154229,1.590668081,0.8350730689,6.418219462,16.14785992,1.088777219
Arunachal Pradesh,Tawang,-23.69259606,14.17342176,25.40877797,38.92605936,20.12842677,7.473273026
Arunachal Pradesh,Tirap,0.5151175812,2.762923351,3.664353859,1.568709475,1.956342669,2.383356898
Arunachal Pradesh,Upper Dibang Valley,-47.45762712,80.64516129,52.23214286,35.48387097,34.1991342,5.967741935
Arunachal Pradesh,Upper Siang,-7.6629681,2.966579046,10.10211524,16.09804571,8.102710414,9.976247031
Arunachal Pradesh,Upper Subansiri,-14.25983437,7.787503773,19.77037244,17.76946458,13.97657336,13.95227312
Arunachal Pradesh,West Kameng,-3.854314003,4.60953782,6.726825267,9.300538048,10.70926261,9.255898367
Arunachal Pradesh,West Siang,-0.3883235137,1.774432047,2.469951129,1.069863367,0.752455044,2.075949367
Assam,Dibrugarh,0,0,0,0,0,0
Assam,Udalguri,0,0,0,0,0,0
Assam,Unknown,-5.978674055,13.09574876,12.23808529,11.0737428,8.148747322,6.085108505
Bihar,Araria,0.7795085179,13.66256468,9.977591697,5.984986595,2.616587913,1.511580899
Bihar,Arwal,7.647171725,15.93479368,6.810791809,2.873539575,1.137704197,0.5713494919
Bihar,Aurangabad,9.446003841,14.14430466,5.456308536,2.999289799,0.7555687814,0.2759008198
Bihar,Banka,6.446780418,11.26112158,5.64274076,3.102930433,0.5747465801,0.2916022467
Bihar,Begusarai,7.313564435,15.70234234,8.234861745,5.446111524,1.944656697,0.6772564955
Bihar,Bhagalpur,6.424299632,8.993189084,5.202589453,2.340173752,0.6971667729,0.428511413
Bihar,Bhojpur,4.138936535,8.245351078,3.327804744,2.323800548,0.7627655288,0.4399120176
Bihar,Buxar,4.995928812,9.335475175,4.669424977,2.717005486,0.8670520231,0.4235704497
Bihar,Darbhanga,2.824679194,13.26597635,10.58654978,8.146457324,2.793782088,1.968673261
Bihar,East Champaran,-0.3222778473,17.55867366,9.529870407,3.813617858,1.47786336,0.961894477
