District	State	2021-11-22	2021-11-23	2021-11-24	2021-11-25	2021-11-26	2021-11-27	2021-11-28	Count_x	sum_x	avg_cases_previous_week	2021-11-29	2021-11-30	2021-12-01	2021-12-02	2021-12-03	2021-12-04	2021-12-05	Count_y	sum_y	avg_cases_over_7_days	Increase	Rate_of_Increase
Agar Malwa	Madhya Pradesh	3303	3303	3303	3303	3303	3303	3303	7	23121.0	3303.0	3303	3303	3303	3303	3303	3303	3303	7	23121.0	3303.0	0.0	0.0
Agra	Uttar Pradesh	25765	25765	25765	25765	25765	25765	25765	7	180355.0	25765.0	25765	25765	25765	25765	25765	25765	25765	7	180355.0	25765.0	0.0	0.0
Ahmedabad	Gujarat	238334	238334	238334	238334	238334	238334	238334	7	1668338.0	238334.0	238334	238334	238334	238334	238334	238334	238334	7	1668338.0	238334.0	0.0	0.0
Ahmednagar	Maharashtra	341339	341417	341417	341503	341574	341677	341747	7	2390674.0	341524.85714285716	341811	341860	341897	341960	341997	342071	342106	7	2393702.0	341957.4285714286	432.57142857142026	0.12665884181615486
Aizawl	Mizoram	75111	75111	75111	75111	75111	75111	75111	7	525777.0	75111.0	75111	75111	75111	75111	75111	75111	75111	7	525777.0	75111.0	0.0	0.0
Ajmer	Rajasthan	37804	37808	37811	37814	37816	37820	37824	7	264697.0	37813.857142857145	37825	37826	37827	37829	37830	37830	37832	7	264799.0	37828.42857142857	14.571428571427532	0.03853462638412703
Akola	Maharashtra	58783	58784	58784	58784	58785	58788	58792	7	411500.0	58785.71428571428	58792	58792	58793	58793	58794	58796	58796	7	411556.0	58793.71428571428	8.0	0.013608748481166465
Alappuzha	Kerala	321046	321215	321352	321567	321711	321863	322015	7	2250769.0	321538.4285714286	322129	322279	322441	322656	322851	323011	323158	7	2258525.0	322646.4285714286	1108.0	0.3445933367662341
Aligarh	Uttar Pradesh	21280	21280	21280	21280	21280	21280	21280	7	148960.0	21280.0	21280	21280	21280	21280	21280	21280	21280	7	148960.0	21280.0	0.0	0.0
Alipurduar	West Bengal	15680	15683	15688	15692	15696	15702	15707	7	109848.0	15692.57142857143	15713	15720	15725	15728	15731	15734	15738	7	110089.0	15727.0	34.42857142857065	0.21939407180831197
Alirajpur	Madhya Pradesh	3505	3505	3505	3505	3505	3505	3505	7	24535.0	3505.0	3505	3505	3505	3505	3505	3505	3505	7	24535.0	3505.0	0.0	0.0
Almora	Uttarakhand	12193	12193	12194	12195	12195	12195	12197	7	85362.0	12194.57142857143	12197	12197	12197	12199	12199	12199	12199	7	85387.0	12198.142857142857	3.571428571427532	0.029287036386205483
Alwar	Rajasthan	59705	59706	59708	59708	59710	59711	59712	7	417960.0	59708.57142857143	59712	59712	59714	59715	59719	59719	59720	7	418011.0	59715.857142857145	7.285714285717404	0.012202124605230603
