	District	State	total_confirmed	total_tested	PositivityRate
0	Agra	Uttar Pradesh	180032.0	3439527.0	0.05234208075703432
1	Ahmedabad	Gujarat	1665246.0	17895444.0	0.09305418742334641
2	Ahmednagar	Maharashtra	1936952.0	77539.0	24.980358271321528
3	Ajmer	Rajasthan	263824.0	1828505.0	0.14428399156688115
4	Aligarh	Uttar Pradesh	148932.0	3379775.0	0.044065655258116294
5	Almora	Uttarakhand	84524.0	591101.0	0.14299417527630642
6	Alwar	Rajasthan	417381.0	2043153.0	0.20428279233126448
7	Ambala	Haryana	210605.0	1442021.0	0.14604849721328608
8	Ambedkar Nagar	Uttar Pradesh	35181.0	862057.0	0.040810526450107125
9	Amethi	Uttar Pradesh	69679.0	1869098.0	0.037279479192637306
10	Amreli	Gujarat	75497.0	1485855.0	0.05081047612317487
11	Amritsar	Punjab	329019.0	624589.0	0.526776808429223
12	Amroha	Uttar Pradesh	116243.0	1778266.0	0.06536873561098283
13	Anand	Gujarat	67245.0	1202957.0	0.05589975369028153
14	Anantapur	Andhra Pradesh	1089347.0	5509595.0	0.1977181625872682
15	Angul	Odisha	291843.0	1210111.0	0.24117043808377908
16	Anjaw	Arunachal Pradesh	5971.0	19915.0	0.2998242530755712
17	Anuppur	Madhya Pradesh	64603.0	23968.0	2.6953855140186915
18	Araria	Bihar	104498.0	1534547.0	0.06809696933362093
19	Aravalli	Gujarat	36281.0	855274.0	0.04242032377928009
20	Ariyalur	Tamil Nadu	108722.0	127995.0	0.8494238056174069
21	Arwal	Bihar	51509.0	711368.0	0.07240837372499184
22	Ashoknagar	Madhya Pradesh	25690.0	390544.0	0.06578004014912532
23	Auraiya	Uttar Pradesh	70520.0	749553.0	0.09408273997969456
24	Aurangabad	Bihar	139795.0	2884049.0	0.048471783939870644
25	Aurangabad	Maharashtra	1072552.0	82600.0	12.984891041162228
26	Ayodhya	Uttar Pradesh	118322.0	2637145.0	0.044867460833590875
27	Azamgarh	Uttar Pradesh	125199.0	87318.0	1.4338280766852196
28	Bagalkote	Karnataka	245424.0	348957.0	0.7033072842785787
29	Bageshwar	Uttarakhand	39725.0	389382.0	0.10202063783123
30	Baghpat	Uttar Pradesh	63828.0	2290344.0	0.027868302752774257
31	Bahraich	Uttar Pradesh	80788.0	2157575.0	0.03744388955192751
32	Balaghat	Madhya Pradesh	63608.0	67578.0	0.9412530705259108
33	Balangir	Odisha	161658.0	615069.0	0.26282904844822286
34	Balasore	Odisha	257766.0	68901.0	3.741106805416467
35	Ballari	Karnataka	681199.0	2816849.0	0.24183014424983376
36	Ballia	Uttar Pradesh	151203.0	1871940.0	0.08077342222507132
37	Balod	Chhattisgarh	190408.0	19243.0	9.894922829080704
38	Baloda Bazar	Chhattisgarh	299513.0	26712.0	11.212675950883497
39	Balrampur	Chhattisgarh	141574.0	150367.0	0.9415230735467224
40	Balrampur	Uttar Pradesh	52374.0	1933659.0	0.027085437504751356
41	Bametara	Chhattisgarh	139527.0	21791.0	6.402964526639439
42	Banaskantha	Gujarat	95391.0	1529689.0	0.06235973456042372
43	Banda	Uttar Pradesh	76868.0	2122295.0	0.03621928148537314
44	Banka	Bihar	51567.0	2553432.0	0.02019517261473969
45	Banswara	Rajasthan	69941.0	341467.0	0.20482506362254624
46	Barabanki	Uttar Pradesh	138724.0	1031954.0	0.1344284725869564
47	Baran	Rajasthan	83939.0	323176.0	0.2597315394707528
48	Bareilly	Uttar Pradesh	307715.0	3256463.0	0.09449362698117558
49	Barmer	Rajasthan	108771.0	797076.0	0.1364625205124731
50	Barnala	Punjab	41235.0	444129.0	0.09284464648784475
51	Barwani	Madhya Pradesh	58513.0	291116.0	0.20099547946523036
52	Bastar	Chhattisgarh	144332.0	31654.0	4.559676502179819
53	Basti	Uttar Pradesh	81984.0	2075990.0	0.03949151970866912
54	Bathinda	Punjab	290175.0	829423.0	0.3498516438536187
55	Beed	Maharashtra	673341.0	780416.0	0.8627975336230933
56	Begusarai	Bihar	189878.0	1495690.0	0.12695010329680614
57	Belagavi	Karnataka	543111.0	2775955.0	0.19564834444362392
58	Bengaluru Rural	Karnataka	424077.0	1681939.0	0.2521357790026868
59	Bengaluru Urban	Karnataka	8557495.0	48187216.0	0.17758849152024056
60	Betul	Madhya Pradesh	90286.0	476252.0	0.1895761067670057
61	Bhadohi	Uttar Pradesh	53998.0	833161.0	0.0648110029154029
62	Bhadrak	Odisha	171716.0	1807211.0	0.09501712860313488
63	Bhagalpur	Bihar	180521.0	4074791.0	0.04430190407311688
64	Bhandara	Maharashtra	420528.0	379365.0	1.108505001779289
65	Bharatpur	Rajasthan	137117.0	1410087.0	0.0972400993697552
66	Bharuch	Gujarat	79916.0	1092399.0	0.07315641995278283
67	Bhavnagar	Gujarat	149842.0	2749838.0	0.054491210027645266
68	Bhilwara	Rajasthan	208395.0	1041348.0	0.2001204208391431
69	Bhind	Madhya Pradesh	20958.0	310765.0	0.06744002703007096
70	Bhiwani	Haryana	156685.0	1233575.0	0.12701700342500455
71	Bhojpur	Bihar	70977.0	3265066.0	0.02173830483059148
72	Bhopal	Madhya Pradesh	862850.0	1716162.0	0.5027788751877736
73	Bidar	Karnataka	169736.0	473823.0	0.35822659516317273
74	Bijapur	Chhattisgarh	56654.0	8673.0	6.532226449901994
75	Bijnor	Uttar Pradesh	103473.0	2190895.0	0.04722864400165229
76	Bikaner	Rajasthan	282062.0	1948114.0	0.14478721471125405
77	Bilaspur	Chhattisgarh	456938.0	68761.0	6.64530765986533
78	Bilaspur	Himachal Pradesh	89816.0	278166.0	0.32288633405951844
79	Bokaro	Jharkhand	135219.0	82586.0	1.6373114087133414
80	Botad	Gujarat	15526.0	689913.0	0.022504286772390143
81	Boudh	Odisha	87131.0	3472.0	25.095334101382488
82	Budaun	Uttar Pradesh	104450.0	1569449.0	0.06655201921183804
83	Bulandshahr	Uttar Pradesh	141330.0	1883630.0	0.0750306588873611
84	Buldhana	Maharashtra	590590.0	811118.0	0.7281184735143346
85	Bundi	Rajasthan	55769.0	407169.0	0.13696769646019222
86	Burhanpur	Madhya Pradesh	17976.0	91280.0	0.19693251533742331
87	Buxar	Bihar	64693.0	3229996.0	0.02002881737314845
89	Chamarajanagara	Karnataka	223727.0	36092.0	6.198797517455392
90	Chamba	Himachal Pradesh	82273.0	374535.0	0.21966705381339527
91	Chamoli	Uttarakhand	84692.0	632730.0	0.13385172190349753
92	Champawat	Uttarakhand	52648.0	665476.0	0.07911329634727624
93	Chandauli	Uttar Pradesh	113323.0	1478743.0	0.07663468229435405
94	Chandigarh	Chandigarh	433251.0	4176520.0	0.10373492764310957
95	Chandrapur	Maharashtra	617833.0	1398663.0	0.44173113895198485
96	Changlang	Arunachal Pradesh	23656.0	167027.0	0.14162979638022596
97	Charkhi Dadri	Haryana	35462.0	409675.0	0.086561298590346
98	Chengalpattu	Tamil Nadu	1124191.0	362397.0	3.1020979754247415
99	Chennai	Tamil Nadu	3754363.0	18674439.0	0.20104288005653076
100	Chhatarpur	Madhya Pradesh	53203.0	353626.0	0.15044991035727012
101	Chhindwara	Madhya Pradesh	47124.0	553630.0	0.0851182197496523
102	Chhota Udaipur	Gujarat	23765.0	656866.0	0.036179372961913085
103	Chikkaballapura	Karnataka	304669.0	105623.0	2.884494854340437
104	Chikkamagaluru	Karnataka	332583.0	38269.0	8.690663461287203
105	Chitradurga	Karnataka	249547.0	30751.0	8.1150856882703
106	Chitrakoot	Uttar Pradesh	49721.0	1638420.0	0.030346919593266682
107	Chittoor	Andhra Pradesh	1590951.0	5462254.0	0.29126272780430934
108	Chittorgarh	Rajasthan	138656.0	812014.0	0.17075567662626506
109	Churachandpur	Manipur	0.0	94794.0	0.0
110	Churu	Rajasthan	117024.0	921900.0	0.1269378457533355
111	Coimbatore	Tamil Nadu	1589397.0	714749.0	2.2237134994242735
112	Cuddalore	Tamil Nadu	417090.0	255038.0	1.6354033516574
113	Cuttack	Odisha	586115.0	40040.0	14.638236763236764
114	Dadra and Nagar Haveli	Dadra and Nagar Haveli and Daman and Diu	41141.0	313691.0	0.131151355952195
115	Dahod	Gujarat	69480.0	1527813.0	0.04547676973556319
116	Dakshin Bastar Dantewada	Chhattisgarh	74671.0	8176.0	9.132950097847358
