	state	avg_cases_over_7_days	avg_cases_previous_week	Increase	Rate_of_Increase
0	Andaman and Nicobar Islands	7677.714285714285	7675.0	2.7142857142853245	0.03536528617961335
1	Andhra Pradesh	2072007.2857142857	2070693.5714285714	1313.714285714319	0.06344320105306492
2	Arunachal Pradesh	55259.28571428572	55237.42857142857	21.857142857144936	0.0395694430794892
3	Assam	616114.5714285715	614833.0	1281.5714285714785	0.2084421995194595
4	Bihar	726200.8571428572	726170.2857142857	30.571428571478464	0.004209953116080393
5	Chandigarh	65429.28571428572	65395.42857142857	33.857142857144936	0.051772950490207824
6	Chhattisgarh	1006671.8571428572	1006462.5714285715	209.28571428568102	0.020794187506508185
7	Dadra and Nagar Haveli and Daman and Diu	10681.857142857143	10681.0	0.857142857143117	0.008024930784974411
8	Delhi	1440779.4285714286	1440562.142857143	217.28571428568102	0.01508339750305577
9	Goa	178754.42857142858	178574.42857142858	180.0	0.10079830658844931
10	Gujarat	827281.5714285715	827059.5714285715	222.0	0.026842080990192967
11	Haryana	771620.0	771496.1428571428	123.85714285715949	0.016054149330995943
12	Himachal Pradesh	226760.57142857142	226173.42857142858	587.1428571428405	0.2595985128984385
14	Jammu and Kashmir	336047.5714285714	334818.5714285714	1229.0	0.3670644656167733
15	Jharkhand	349170.5714285714	349069.71428571426	100.85714285715949	0.02889312327296539
16	Karnataka	2994634.5714285714	2992838.285714286	1796.2857142854482	0.06001947124439226
17	Kerala	5119478.285714285	5083658.571428572	35819.71428571362	0.7046050355747598
18	Ladakh	21421.571428571428	21270.285714285714	151.28571428571377	0.7112537946968248
19	Lakshadweep	10377.857142857143	10368.0	9.857142857143117	0.09507275132275383
20	Madhya Pradesh	793086.0	792991.1428571428	94.85714285715949	0.011961942287954152
21	Maharashtra	6632525.0	6626760.142857143	5764.857142857276	0.0869935989620977
22	Manipur	125063.85714285714	124707.71428571429	356.14285714285506	0.2855820581611386
23	Meghalaya	84322.14285714286	84105.85714285714	216.28571428571013	0.25715892047606176
24	Mizoram	132591.7142857143	129798.71428571429	2793.0	2.1517932711197885
25	Nagaland	32084.85714285714	32031.14285714286	53.714285714282596	0.16769394071839824
26	Odisha	1047578.0	1045956.0	1622.0	0.15507344477205542
27	Puducherry	128786.14285714286	128560.0	226.14285714285506	0.17590452484665142
28	Punjab	603125.2857142857	602903.8571428572	221.42857142852154	0.03672701191162796
29	Rajasthan	954689.1428571428	954560.5714285715	128.57142857136205	0.013469174447352803
30	Sikkim	32200.14285714286	32117.571428571428	82.57142857143117	0.2570911339142429
31	Tamil Nadu	2723141.0	2717967.1428571427	5173.857142857276	0.1903576044491284
32	Telangana	675156.8571428572	674164.8571428572	992.0	0.14714501794177515
33	Tripura	84718.42857142857	84665.71428571429	52.71428571427532	0.062261667735282834
35	Uttar Pradesh	1710365.142857143	1710305.5714285714	59.57142857159488	0.0034830868569197546
36	Uttarakhand	344151.0	344067.5714285714	83.42857142857974	0.024247728747636293
37	West Bengal	1612473.5714285714	1607254.0	5219.571428571362	0.324750875006151
