	State	total_confirmed	total_tested	PositivityRate
0	Andaman and Nicobar Islands	52418.0	2909058.0	0.01801889133870827
1	Andhra Pradesh	13378886.0	158324144.0	0.08450313175228663
2	Arunachal Pradesh	268128.0	5607182.0	0.04781867255245148
3	Assam	3672828.0	109460522.0	0.03355390539796622
4	Bihar	5059898.0	238105031.0	0.021250697554559442
5	Chandigarh	432416.0	4044704.0	0.10690918297111482
6	Chhattisgarh	6977049.0	73932150.0	0.09437097392676934
7	Dadra and Nagar Haveli and Daman and Diu	74055.0	506870.0	0.14610255094994773
8	Delhi	10043486.0	153988083.0	0.06522248867790632
9	Goa	1176065.0	6668703.0	0.17635588209581382
10	Gujarat	5768159.0	168626490.0	0.034206719240849996
11	Haryana	5383579.0	71775185.0	0.07500613199394748
12	Himachal Pradesh	1421737.0	17582679.0	0.08086008963707976
14	Jammu and Kashmir	2224244.0	72654802.0	0.030613860870476257
15	Jharkhand	2422685.0	72326926.0	0.033496308138410306
16	Karnataka	20033413.0	247276844.0	0.08101613024469044
17	Kerala	21080806.0	167409516.0	0.12592358250411523
18	Ladakh	141018.0	2628976.0	0.05363989629422254
19	Lakshadweep	69741.0	1355178.0	0.05146261229152185
20	Madhya Pradesh	5530483.0	88402754.0	0.06256007589989787
21	Maharashtra	42861530.0	302004006.0	0.1419237134225299
22	Manipur	520958.0	6537142.0	0.07969201219737922
23	Meghalaya	369564.0	5078145.0	0.07277539337691225
24	Mizoram	155857.0	3540772.0	0.044017801767524144
25	Nagaland	179772.0	1639019.0	0.10968268214096359
26	Odisha	6508505.0	99868337.0	0.0651708559040089
27	Puducherry	828788.0	9564203.0	0.08665520796662304
28	Punjab	4178683.0	78422674.0	0.05328411780501134
29	Rajasthan	6670294.0	85050782.0	0.07842719188637208
30	Sikkim	151256.0	1188807.0	0.12723343654604996
31	Tamil Nadu	17545786.0	237589408.0	0.07384919280576684
32	Telangana	4403041.0	135672694.0	0.0324534058415616
33	Tripura	480400.0	9342375.0	0.05142161388297944
34	Uttar Pradesh	11948508.0	417226199.0	0.028637961922424723
35	Uttarakhand	2386606.0	39941178.0	0.059753019803271704
36	West Bengal	10557768.0	101977864.0	0.10352999745121157
